COLA,Cola
CHIPS,Chips
CANDY,Candy
INSERT_COIN,Insert coin
ITEMS_LEFT,Items left
AMOUNT_ENTERED,Amount entered
COINS_RETURNED,Coins returned
PRICE,Price
TAKE_CHANGE,Please take your change
THANK_YOU,Thank you
DISPENSING,Dispensing
SOLD_OUT,Sold out
EXACT_CHANGE_ONLY,Exact change only
