COLA,Cola
CHIPS,Chips
CANDY,Süßigkeit
INSERT_COIN,Münze einwerfen
ITEMS_LEFT,Artikel übrig
AMOUNT_ENTERED,Betrag eingegeben
COINS_RETURNED,Wechselgeld
PRICE,Preis
TAKE_CHANGE,Bitte Wechselgeld entnehmen
THANK_YOU,Vielen Dank
DISPENSING,Ausgabe läuft
SOLD_OUT,Ausverkauft
EXACT_CHANGE_ONLY,Nur exaktes Wechselgeld
